value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex,tokenID
13724141000000000000000000,0xb68412c304bd5fae5216cf58d9a77762b7bcbd31b3952d11fa73e30ac6fef608,3331926,2860936,0x4340cf4ac0c23d467a3f3088323e99cea506e519,86105,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,58878,,39252,0x4bcbfc9746c3deed8abd2daf4d76763cd56fa2702512fcf2f47465b0e060ee01,0xa9059cbb000000000000000000000000973efbdb92408d68dbdf9e1b4e70c26ffef84bcc0000000000000000000000000000000000000000000b5a332ca47c9dfb940000,0,29,2024-05-14 10:43:35,0x973efbdb92408d68dbdf9e1b4e70c26ffef84bcc,18,Swamps GOV Escrowed Token,xGSWP,1,
13724141000000000000000000,0x83f2dea0e539fc7524cdaa70a00520e698b79030d9cafe8cf1fe8547e27b791f,3331889,2860973,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,104665,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,67616,,57824,0x60370042e3fd7d395fd0f3886ee78ae6264f4e1315027c60dc37725ab4a201d4,0xa3908e1b0000000000000000000000000000000000000000000b5a332ca47c9dfb940000,2,28,2024-05-14 10:42:21,0x4340cf4ac0c23d467a3f3088323e99cea506e519,18,Swamps GOV,GSWP,1,
13724141000000000000000000,0x83f2dea0e539fc7524cdaa70a00520e698b79030d9cafe8cf1fe8547e27b791f,3331889,2860973,0x4340cf4ac0c23d467a3f3088323e99cea506e519,104665,0x0000000000000000000000000000000000000000,67616,,57824,0x60370042e3fd7d395fd0f3886ee78ae6264f4e1315027c60dc37725ab4a201d4,0xa3908e1b0000000000000000000000000000000000000000000b5a332ca47c9dfb940000,0,28,2024-05-14 10:42:21,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV Escrowed Token,xGSWP,1,
,0x474d3c5bf0ee73409a9fe6d741ae45276fb81c8ea561bacf30ee2843a6c92c43,3304616,2888246,0xc3ff47bcd686f1dbddd3e813d575863c9c97c502,3195589,0x64f07dbf1cd7ff753cfa4e7b1dd4ae53ee37fd8a,3324111,,3148736,0x51db2a2c380d11c1e680ae4f3e77222bc1807daf9655bdb88a20a8e567ec4177,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000030c52d4885165cafa5ce01a9d23ed44d154792400000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000000000517da02c000000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000000000517da02c000000000000000000000000000000000000000000000000000000000066426c1b000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe168000000000000000000000000c3ff47bcd686f1dbddd3e813d575863c9c97c5020000000000000000000000000000000000000000000000000000000000000000,17,26,2024-05-13 19:33:15,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,,Swamps Staking Position NFT,spNFT,1,1
350000000000,0x474d3c5bf0ee73409a9fe6d741ae45276fb81c8ea561bacf30ee2843a6c92c43,3304616,2888246,0x30c52d4885165cafa5ce01a9d23ed44d15479240,3195589,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,3324111,,3148736,0x51db2a2c380d11c1e680ae4f3e77222bc1807daf9655bdb88a20a8e567ec4177,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000030c52d4885165cafa5ce01a9d23ed44d154792400000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000000000517da02c000000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000000000517da02c000000000000000000000000000000000000000000000000000000000066426c1b000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe168000000000000000000000000c3ff47bcd686f1dbddd3e813d575863c9c97c5020000000000000000000000000000000000000000000000000000000000000000,6,26,2024-05-13 19:33:15,0x42e89e4e0c8d1454369df64dfb64f325152af771,18,Bitcoin,BTC,1,
1000000000000000000,0x474d3c5bf0ee73409a9fe6d741ae45276fb81c8ea561bacf30ee2843a6c92c43,3304616,2888246,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,3195589,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,3324111,,3148736,0x51db2a2c380d11c1e680ae4f3e77222bc1807daf9655bdb88a20a8e567ec4177,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000030c52d4885165cafa5ce01a9d23ed44d154792400000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000000000517da02c000000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000000000517da02c000000000000000000000000000000000000000000000000000000000066426c1b000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe168000000000000000000000000c3ff47bcd686f1dbddd3e813d575863c9c97c5020000000000000000000000000000000000000000000000000000000000000000,3,26,2024-05-13 19:33:15,0x42e89e4e0c8d1454369df64dfb64f325152af771,18,Swamps GOV,GSWP,1,
10000000000000,0x1e3451c5b7f106e7e97935974d4bd367e1d24ae320e08412005b04fcb384b5b4,3304549,2888313,0x30c52d4885165cafa5ce01a9d23ed44d15479240,105428,0xa2a2d0f55ae5453a5e8e0690e76e1c668bfa0d18,88528,,58587,0x7f9adfc414c9a61b96bf558b0a05d6101880e3983451c3afe7a786a05852d33a,0xa9059cbb000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe168000000000000000000000000000000000000000000000000000009184e72a000,0,237,2024-05-13 19:31:01,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Bitcoin,BTC,1,
,0xead76d60237964f27a2bd3101ab528bc206353ddba3085ad251b916ad5ca9134,3304291,2888571,0xabdc5347995a885a7dfc39efd3525b9fb6f7b1a7,442048,0x0000000000000000000000000000000000000000,404993,,395207,0x565f451012cc0e69582ba38c53a46d92009c251c39bc77bbf0d0a67561556ee4,0xd1aaef05000000000000000000000000000000000000000000000000016345785d8a00000000000000000000000000000000000000000000000000000000000000000000,2,23,2024-05-13 19:22:25,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,,Swamps Staking Position NFT,spNFT,1,1
100000000000000000,0xead76d60237964f27a2bd3101ab528bc206353ddba3085ad251b916ad5ca9134,3304291,2888571,0x53f79ff3677f1133738da918b8edc5b7aba9f16f,442048,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,404993,,395207,0x565f451012cc0e69582ba38c53a46d92009c251c39bc77bbf0d0a67561556ee4,0xd1aaef05000000000000000000000000000000000000000000000000016345785d8a00000000000000000000000000000000000000000000000000000000000000000000,1,23,2024-05-13 19:22:25,0xabdc5347995a885a7dfc39efd3525b9fb6f7b1a7,18,Swamps LPs,SWAMPS-LP,1,
,0xb44a6056d544a74724f42d1a95f2bb5b6cddbf94f55652ea90a5f0d179ff1b68,3304263,2888599,0x82d641d0df7d6d47f9b6ef44330e9f8e18de9c93,3196272,0x64f07dbf1cd7ff753cfa4e7b1dd4ae53ee37fd8a,3320006,,3149431,0x46306b5b3a9823c7e60dc7d33529c9d28fc9f7dcede78f0024dac25c7822811e,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d0000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000004d72fc081a80000000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000004d72fc081a80000000000000000000000000000000000000000000000000000000000066426959000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe16800000000000000000000000082d641d0df7d6d47f9b6ef44330e9f8e18de9c930000000000000000000000000000000000000000000000000000000000000000,16,21,2024-05-13 19:21:29,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,,Swamps Staking Position NFT,spNFT,1,1
21800000000000000,0xb44a6056d544a74724f42d1a95f2bb5b6cddbf94f55652ea90a5f0d179ff1b68,3304263,2888599,0x23d7b03427c3eeb3ebaedcf0a732ee60ad71106d,3196272,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,3320006,,3149431,0x46306b5b3a9823c7e60dc7d33529c9d28fc9f7dcede78f0024dac25c7822811e,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d0000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000004d72fc081a80000000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000004d72fc081a80000000000000000000000000000000000000000000000000000000000066426959000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe16800000000000000000000000082d641d0df7d6d47f9b6ef44330e9f8e18de9c930000000000000000000000000000000000000000000000000000000000000000,5,21,2024-05-13 19:21:29,0xcab41a39060245cef21d78f35aef5b3f72c94550,18,USDC,USDC,1,
1000000000000000000,0xb44a6056d544a74724f42d1a95f2bb5b6cddbf94f55652ea90a5f0d179ff1b68,3304263,2888599,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,3196272,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,3320006,,3149431,0x46306b5b3a9823c7e60dc7d33529c9d28fc9f7dcede78f0024dac25c7822811e,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d0000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000004d72fc081a80000000000000000000000000000000000000000000000000000de0b6b3a7640000000000000000000000000000000000000000000000000000004d72fc081a80000000000000000000000000000000000000000000000000000000000066426959000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe16800000000000000000000000082d641d0df7d6d47f9b6ef44330e9f8e18de9c930000000000000000000000000000000000000000000000000000000000000000,3,21,2024-05-13 19:21:29,0xcab41a39060245cef21d78f35aef5b3f72c94550,18,Swamps GOV,GSWP,1,
21900000000000000,0xfef1d015d32b1aeda7cfd42b4b07b576552abfd60881561408d1a3994c9f212d,3304208,2888654,0x23d7b03427c3eeb3ebaedcf0a732ee60ad71106d,105440,0xa2a2d0f55ae5453a5e8e0690e76e1c668bfa0d18,88546,,58599,0xb2bbaf537e4c0bd5fb48fa35441ac7b4270574516d39735bed06dc003abcc765,0xa9059cbb000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe168000000000000000000000000000000000000000000000000004dcdef1894c000,0,236,2024-05-13 19:19:39,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,USDC,USDC,1,
100000000000000000000,0xc6acfda70b82a192192d643bda63940a0de77fb52d9390d84a34ecec32d92373,3288326,2904536,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,121729,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,84692,,74900,0xda70feeda3ecdb1f5d0863d0074b4e431ed3fe7657961bfa45d4d00d2e779132,0xa3908e1b0000000000000000000000000000000000000000000000056bc75e2d63100000,2,17,2024-05-13 10:30:15,0x4340cf4ac0c23d467a3f3088323e99cea506e519,18,Swamps GOV,GSWP,1,
100000000000000000000,0xc6acfda70b82a192192d643bda63940a0de77fb52d9390d84a34ecec32d92373,3288326,2904536,0x4340cf4ac0c23d467a3f3088323e99cea506e519,121729,0x0000000000000000000000000000000000000000,84692,,74900,0xda70feeda3ecdb1f5d0863d0074b4e431ed3fe7657961bfa45d4d00d2e779132,0xa3908e1b0000000000000000000000000000000000000000000000056bc75e2d63100000,0,17,2024-05-13 10:30:15,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV Escrowed Token,xGSWP,1,
100000000000000000000,0x5f003ce7f423da709d72996e5ecb44dfbb30357ea7ccf93fb84e17a3b98220dc,3284142,2908720,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,98573,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,77598,,51732,0xcfaaad00dd97e6dd6997ff628a4dd66d3f16f4cda04186cf408b2dd49936c8a2,0xa9059cbb0000000000000000000000007273a4caed4e3ccce1354b47de03772f20ddd2430000000000000000000000000000000000000000000000056bc75e2d63100000,0,15,2024-05-13 08:10:47,0x7273a4caed4e3ccce1354b47de03772f20ddd243,18,Swamps GOV,GSWP,1,
